Flight Number,Flight Departure Date,Aircraft Registration Number,Departure Airport Code,Arrival Airport Code,Aircraft Payload,Available Payload,Maximum Zero Fuel Weight (Kgs),Actual Zero Fuel Weight (Kgs),Take Off Fuel,Maximum Take Off Weight (Kgs),Actual Take Off Weight (Kgs),Trip Fuel Leg,Maximum Landing Weight (Kgs),Actual Landing Weight (Kgs),First Class Flown Passenger,Business Class Flown Passenger,Economy Class Flown Passenger,Total Male,Total Female,Total Children,Total Infants,Total Passenger Weight (Kgs),Total Compartment Weight (Kgs),Total Baggage Weight Leg (Kgs),Total Cargo Weight Leg (Kgs),Total Mail Weight Leg (Kgs),Total Engg Weight Leg (Kgs),Dry Operating Weight (Kgs),Cockpit Crew Count,Cabin Crew Count,First Class Non Revenue Passenger,Business Class Non Revenue Passenger,Economy Class Non Revenue Passenger,Dom Intl Flag
AI0158,2019-06-04,VTANQ,CPH,DEL,26613.0,41313.0,161025.0,146325.0,48500.0,213537.0,194825.0,41172.0,172365.0,153653.0,0,0,0,0,0,0,0,17659.0,8954.0,,2428.0,0.0,0.0,119712.0,2.0,8.0,0,0,0,I
AI0158,2019-06-06,,CPH,DEL,,,,,,,,,,,0,0,3,0,0,0,0,,,,,,,,,,0,0,0,I
AI0158,2019-06-06,VTANL,CPH,DEL,22248.0,40367.0,161025.0,142906.0,48500.0,213025.0,191406.0,40700.0,172365.0,150706.0,0,0,0,0,0,0,0,14591.0,7657.0,,2418.0,0.0,0.0,120658.0,2.0,8.0,0,0,0,I
AI0158,2019-06-07,,CPH,DEL,,,,,,,,,,,0,0,2,0,0,0,0,,,,,,,,,,0,0,0,I
AI0158,2019-06-07,VTANT,CPH,DEL,24900.0,41297.0,161025.0,144628.0,48100.0,213624.0,192728.0,41259.0,172365.0,151469.0,0,0,0,0,0,0,0,14897.0,10003.0,,4238.0,0.0,705.0,119728.0,2.0,8.0,0,0,0,I
AI0158,2019-06-08,,CPH,DEL,,,,,,,,,,,0,0,5,0,0,0,0,,,,,,,,,,0,0,0,I
AI0158,2019-06-08,VTANU,CPH,DEL,31252.0,41683.0,161025.0,150594.0,49600.0,215124.0,200194.0,42800.0,172365.0,157394.0,0,0,0,0,0,0,0,14190.0,17062.0,,11393.0,0.0,0.0,119342.0,2.0,8.0,0,0,0,I
AI0158,2019-06-11,,CPH,DEL,,,,,,,,,,,0,15,225,0,0,0,0,,,,,,,,,,0,6,9,I
AI0158,2019-06-11,VTNAC,CPH,DEL,23898.0,41288.0,161025.0,143635.0,48500.0,213000.0,192135.0,41072.0,172365.0,151063.0,0,0,2,0,0,0,0,17092.0,6806.0,,468.0,0.0,0.0,119737.0,2.0,8.0,0,0,0,I
AI0158,2019-06-13,,CPH,DEL,,,,,,,,,,,0,14,199,0,0,0,0,,,,,,,,,,0,0,4,I
AI0158,2019-06-13,VTANY,CPH,DEL,26102.0,41217.0,161025.0,145910.0,54000.0,218049.0,199910.0,45700.0,172365.0,154210.0,0,1,0,0,0,0,0,14878.0,11224.0,,4905.0,0.0,745.0,119808.0,2.0,8.0,0,0,0,I
AI0158,2019-06-14,,CPH,DEL,,,,,,,,,,,0,12,213,0,0,0,0,,,,,,,,,,0,0,3,I
AI0158,2019-06-14,VTNAA,CPH,DEL,23210.0,39701.0,161025.0,143009.0,48500.0,208000.0,191509.0,41000.0,172365.0,150509.0,0,0,0,0,0,0,0,15947.0,7263.0,,1488.0,0.0,0.0,119799.0,2.0,8.0,0,0,0,I
AI0158,2019-06-15,,CPH,DEL,,,,,,,,,,,0,14,190,0,0,0,0,,,,,,,,,,0,0,1,I
AI0158,2019-06-15,VTANC,CPH,DEL,30213.0,39199.0,161025.0,152039.0,53000.0,215939.0,205039.0,43600.0,172365.0,161439.0,0,0,27,0,0,0,0,14427.0,15786.0,,10473.0,0.0,0.0,121826.0,2.0,8.0,0,0,0,I
AI0158,2019-06-27,,CPH,DEL,,,,,,,,,,,0,1,137,0,0,0,0,,,,,,,,,,0,0,1,I
AI0158,2019-06-27,VTANH,CPH,DEL,34022.0,39956.0,161025.0,155091.0,47500.0,212087.0,202591.0,39722.0,172365.0,162869.0,0,17,104,0,0,0,0,18151.0,15871.0,,9028.0,0.0,0.0,121069.0,2.0,8.0,0,0,2,I
AI0168,2019-06-05,,ARN,DEL,,,,,,,,,,,0,0,2,0,0,0,0,,,,,,,,,,0,0,0,I
AI0168,2019-06-05,VTANK,ARN,DEL,27549.0,40527.0,161025.0,148047.0,47700.0,213109.0,195747.0,40800.0,172365.0,154947.0,0,0,1,0,0,0,0,15499.0,12050.0,,6449.0,0.0,0.0,120498.0,2.0,8.0,0,0,0,I
AI0168,2019-06-07,,ARN,DEL,,,,,,,,,,,0,1,6,0,0,0,0,,,,,,,,,,0,0,0,I
AI0168,2019-06-07,VTANQ,ARN,DEL,20539.0,41313.0,161025.0,140251.0,46500.0,211873.0,186751.0,39508.0,172365.0,147243.0,0,0,0,0,0,0,0,14006.0,6533.0,,924.0,0.0,0.0,119712.0,2.0,8.0,0,0,0,I
AI0168,2019-06-14,,ARN,DEL,,,,,,,,,,,0,11,209,0,0,0,0,,,,,,,,,,0,0,4,I
AI0168,2019-06-14,VTANX,ARN,DEL,27119.0,41423.0,161025.0,146721.0,51500.0,216062.0,198221.0,43700.0,172365.0,154521.0,0,0,1,0,0,0,0,15538.0,11581.0,,6120.0,0.0,0.0,119602.0,2.0,8.0,0,0,1,I
AI0230,2019-06-09,,CCU,DAC,,,,,,,,,,,0,0,120,68,44,8,2,,,,,,,,,,0,0,0,D
AI0230,2019-06-09,VTSCA,CCU,DAC,10524.0,15328.0,57000.0,52196.0,5350.0,62482.0,57546.0,1482.0,61000.0,56064.0,0,0,0,0,0,0,0,8700.0,1824.0,1820.0,50.0,31.0,0.0,41672.0,2.0,6.0,0,0,0,D
AI0349,2019-06-15,,PVG,DEL,,,,,,,,,,,0,15,134,113,27,9,1,,,,,,,,,,0,0,1,I
AI0349,2019-06-15,VTANS,PVG,DEL,36455.0,41584.0,161025.0,155896.0,39000.0,202344.0,194896.0,30000.0,172365.0,164896.0,0,0,0,0,0,0,0,16171.0,14446.0,3755.0,13480.0,2440.0,0.0,119441.0,3.0,8.0,0,0,0,I
AI0349,2019-06-16,,PVG,DEL,,,,,,,,,,,0,10,149,132,22,5,2,,,,,,,,,,0,0,0,I
AI0349,2019-06-16,VTANS,PVG,DEL,39358.0,41232.0,161025.0,159151.0,39100.0,202472.0,198251.0,30200.0,172365.0,168051.0,0,0,0,0,0,0,0,18857.0,10119.0,3793.0,12690.0,3385.0,0.0,119793.0,2.0,8.0,0,0,0,I
AI0380,2019-06-11,,DEL,SIN,,,,,,,,,,,0,16,241,144,91,22,6,,,,,,,,,,0,0,3,D
AI0380,2019-06-11,VTANR,DEL,SIN,35651.0,41238.0,161025.0,155438.0,31000.0,197497.0,186438.0,25132.0,172365.0,161306.0,0,0,0,0,0,0,0,19035.0,16616.0,4031.0,12195.0,0.0,0.0,119787.0,3.0,8.0,0,0,0,D
AI0428,2019-06-01,,VNS,DEL,,,,,,,,,,,0,1,138,96,35,8,0,,,,,,,,,,0,0,0,D
AI0428,2019-06-01,VTEDE,VNS,DEL,11562.0,15387.0,61000.0,55125.0,7550.0,66500.0,62675.0,2998.0,64500.0,59677.0,0,0,0,0,0,0,0,10105.0,1457.0,1457.0,0.0,0.0,0.0,43563.0,2.0,4.0,0,0,0,D
AI0446,2019-06-14,,IXL,DEL,,,,,,,,,,,0,8,115,78,40,5,0,,,,,,,,,,0,1,4,D
AI0446,2019-06-14,VTSCP,IXL,DEL,10956.0,11741.0,57000.0,52765.0,6450.0,60000.0,59215.0,2600.0,61000.0,56615.0,0,0,0,0,0,0,0,9025.0,1931.0,1633.0,54.0,244.0,0.0,41809.0,2.0,4.0,0,0,0,D
AI0526,2019-06-12,,CCU,HYD,,,,,,,,,,,0,0,144,92,46,6,1,,,,,,,,,,0,0,1,D
AI0526,2019-06-12,VTSCA,CCU,HYD,13154.0,14937.0,57000.0,54636.0,9050.0,65469.0,63686.0,4469.0,61000.0,59217.0,0,0,0,0,0,0,0,10570.0,2584.0,1360.0,1224.0,0.0,0.0,41482.0,2.0,4.0,0,0,0,D
AI0546,2019-06-06,,HYD,MAA,,,,,,,,,,,0,5,79,68,15,1,0,,,,,,,,,,0,4,0,D
AI0546,2019-06-06,VTPPF,HYD,MAA,7267.0,10089.0,71500.0,56623.0,16100.0,75545.0,72723.0,2995.0,75500.0,69728.0,0,0,0,0,0,0,0,6260.0,1007.0,1001.0,6.0,0.0,0.0,49356.0,2.0,5.0,0,0,0,D
AI0596,2019-06-08,,VNS,MAA,,,,,,,,,,,0,1,170,110,49,12,3,,,,,,,,,,0,0,0,D
AI0596,2019-06-08,VTPPG,VNS,MAA,14324.0,18837.0,71500.0,63687.0,12800.0,81000.0,76487.0,7689.0,75500.0,68798.0,0,0,0,0,0,0,0,12753.0,1571.0,1571.0,0.0,0.0,0.0,49363.0,2.0,5.0,0,0,0,D
AI0611,2019-06-13,,BOM,JAI,,,,,,,,,,,0,9,168,111,50,16,1,,,,,,,,,,0,0,0,D
AI0611,2019-06-13,VTPPD,BOM,JAI,15312.0,18609.0,71500.0,64641.0,11000.0,78938.0,75641.0,4625.0,75500.0,71016.0,0,0,0,0,0,0,0,12645.0,2667.0,1791.0,376.0,0.0,0.0,49329.0,2.0,5.0,0,0,0,D
AI0625,2019-06-13,,BOM,LKO,,,,,,,,,,,0,2,101,85,18,0,0,,,,,,,,,,0,0,1,D
AI0625,2019-06-13,VTSCN,BOM,LKO,10063.0,11502.0,57000.0,52098.0,9050.0,62587.0,61148.0,4544.0,61000.0,56604.0,0,0,0,0,0,0,0,7725.0,2338.0,1766.0,302.0,270.0,0.0,42035.0,2.0,5.0,0,0,0,D
AI0630,2019-06-25,,NAG,BOM,,,,,,,,,,,0,8,150,110,42,6,3,,,,,,,,,,0,4,2,D
AI0630,2019-06-25,VTCIQ,NAG,BOM,13572.0,17494.0,64300.0,58228.0,6850.0,69000.0,65078.0,2440.0,67400.0,62638.0,0,0,0,0,0,0,0,11640.0,1932.0,1032.0,,,,44656.0,2.0,4.0,0,0,0,D
AI0663,2019-06-05,,BOM,GOI,,,,,,,,,,,0,5,133,78,51,9,0,,,,,,,,,,0,0,3,D
AI0663,2019-06-05,VTCID,BOM,GOI,12164.0,15268.0,64300.0,56964.0,6250.0,66318.0,63214.0,1953.0,67400.0,61261.0,0,0,0,0,0,0,0,9990.0,2174.0,1969.0,36.0,169.0,0.0,44800.0,2.0,4.0,0,0,0,D
AI0669,2019-06-13,,BOM,BBI,,,,,,,,,,,0,6,150,106,40,10,1,,,,,,,,,,0,1,0,D
AI0669,2019-06-13,VTEXR,BOM,BBI,15401.0,15749.0,64300.0,60074.0,9450.0,69872.0,69524.0,4301.0,67400.0,65223.0,0,0,0,0,0,0,0,11652.0,3749.0,2521.0,856.0,372.0,0.0,44673.0,2.0,4.0,0,0,0,D
AI0679,2019-06-13,,BOM,IXE,,,,,,,,,,,0,1,104,68,30,7,2,,,,,,,,,,0,0,7,D
AI0679,2019-06-13,VTEXN,BOM,IXE,9480.0,13783.0,64300.0,54142.0,7350.0,65795.0,61492.0,2588.0,67400.0,58904.0,0,0,0,0,0,0,0,7615.0,1865.0,1760.0,11.0,94.0,0.0,44662.0,2.0,4.0,0,0,0,D
AI0745,2019-06-10,,CCU,IXA,,,,,,,,,,,0,0,143,100,38,5,1,,,,,,,,,,0,0,0,D
AI0745,2019-06-10,VTSCB,CCU,IXA,14871.0,15056.0,57000.0,56268.0,6350.0,62803.0,62618.0,1803.0,61000.0,60815.0,0,0,0,0,0,0,0,10535.0,4336.0,1406.0,2930.0,0.0,0.0,41397.0,2.0,4.0,0,0,0,D
AI0745,2019-06-12,,CCU,IXA,,,,,,,,,,,0,0,140,93,45,2,0,,,,,,,,,,0,0,0,D
AI0745,2019-06-12,VTSCB,CCU,IXA,14111.0,14357.0,57000.0,55508.0,7050.0,62804.0,62558.0,1804.0,61000.0,60754.0,0,0,0,0,0,0,0,10420.0,3691.0,1381.0,2310.0,0.0,0.0,41397.0,2.0,4.0,0,0,0,D
AI0753,2019-06-15,,CCU,IXS,,,,,,,,,,,0,1,84,53,27,5,1,,,,,,,,,,0,1,0,D
AI0753,2019-06-15,VTSCH,CCU,IXS,8463.0,12527.0,57000.0,50389.0,9050.0,63503.0,59439.0,2503.0,61000.0,56936.0,0,0,0,0,0,0,0,6185.0,2278.0,1270.0,1008.0,0.0,0.0,41926.0,2.0,4.0,0,0,0,D
AI0754,2019-06-25,,IXS,CCU,,,,,,,,,,,0,0,135,98,30,7,1,,,,,,,,,,0,0,2,D
AI0754,2019-06-25,VTSCC,IXS,CCU,11455.0,14663.0,57000.0,52942.0,7350.0,63500.0,60292.0,2500.0,61000.0,57792.0,0,0,0,0,0,0,0,9855.0,1600.0,1408.0,169.0,23.0,0.0,41487.0,2.0,4.0,0,0,0,D
AI0754,2019-06-26,,IXS,CCU,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,D
AI0754,2019-06-26,VTSCC,IXS,CCU,10923.0,14932.0,57000.0,52410.0,7050.0,63469.0,59460.0,2469.0,61000.0,56991.0,0,0,0,0,0,0,0,9595.0,1328.0,,,,,41487.0,2.0,4.0,0,0,0,D
AI0773,2019-06-26,,CCU,BOM,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,D
AI0773,2019-06-26,VTSCK,CCU,BOM,10140.0,13853.0,57000.0,52043.0,11350.0,67106.0,63393.0,6106.0,61000.0,57287.0,0,0,0,0,0,0,0,8510.0,1630.0,,,,,41903.0,2.0,4.0,0,0,0,D
AI0775,2019-06-23,,CCU,BLR,,,,,,,,,,,0,11,87,70,27,1,1,,,,,,,,,,0,0,2,D
AI0775,2019-06-23,VTEXJ,CCU,BLR,14318.0,19200.0,64300.0,59105.0,8445.0,72432.0,67550.0,5032.0,67400.0,62518.0,0,0,0,0,0,0,0,12240.0,2078.0,2057.0,0.0,21.0,0.0,44787.0,2.0,4.0,0,0,0,D
AI0805,2019-06-09,,DEL,BOM,,,,,,,,,,,0,21,199,150,59,11,1,,,,,,,,,,0,6,14,D
AI0805,2019-06-09,VTALH,DEL,BOM,19632.0,46616.0,209106.0,182122.0,22500.0,234255.0,204622.0,11088.0,223167.0,193534.0,0,0,0,0,0,0,0,16070.0,3562.0,3089.0,0.0,0.0,0.0,162490.0,2.0,8.0,0,0,0,D
AI0806,2019-06-13,,BOM,DEL,,,,,,,,,,,0,12,147,120,34,5,1,,,,,,,,,,0,0,4,D
AI0806,2019-06-13,VTCIN,BOM,DEL,14987.0,17024.0,64300.0,59632.0,7850.0,69519.0,67482.0,3668.0,67400.0,63814.0,0,0,0,0,0,0,0,11735.0,3252.0,1482.0,1770.0,0.0,0.0,44645.0,2.0,4.0,0,0,0,D
AI0813,2019-06-17,,IXC,PNQ,,,,,,,,,,,0,9,150,101,53,5,1,,,,,,,,,,0,0,0,D
AI0813,2019-06-17,VTEXR,IXC,PNQ,13709.0,13899.0,64300.0,58382.0,13300.0,71872.0,71682.0,4472.0,67400.0,67210.0,0,0,0,0,0,0,0,11735.0,1974.0,1974.0,0.0,0.0,0.0,44673.0,2.0,4.0,0,0,0,D
AI0839,2019-06-17,,DEL,HYD,,,,,,,,,,,0,12,171,148,23,12,3,,,,,,,,,,0,1,1,D
AI0839,2019-06-17,VTPPB,DEL,HYD,18483.0,18483.0,71500.0,67785.0,12800.0,80585.0,80585.0,6049.0,75500.0,74536.0,0,0,0,0,0,0,0,13275.0,5208.0,6235.0,0.0,0.0,0.0,49302.0,2.0,5.0,0,0,0,D
AI0866,2019-06-13,,BOM,DEL,,,,,,,,,,,0,11,124,90,37,8,0,,,,,,,,,,0,1,2,D
AI0866,2019-06-13,VTEXH,BOM,DEL,12220.0,13845.0,64300.0,57071.0,8350.0,67046.0,65421.0,3532.0,67400.0,61889.0,0,0,0,0,0,0,0,9805.0,2415.0,1633.0,782.0,0.0,0.0,44851.0,2.0,4.0,0,0,0,D
AI0906,2019-06-21,,DXB,MAA,,,,,,,,,,,0,11,166,113,49,15,5,,,,,,,,,,0,0,0,I
AI0906,2019-06-21,VTPPK,DXB,MAA,18063.0,21907.0,71500.0,67427.0,17090.0,88361.0,84517.0,12861.0,75500.0,71656.0,0,0,1,1,0,0,0,13201.0,4862.0,4542.0,0.0,0.0,0.0,49364.0,2.0,6.0,0,0,1,I
AI0906,2019-06-22,,DXB,MAA,,,,,,,,,,,0,11,170,122,44,15,3,,,,,,,,,,0,0,0,I
AI0906,2019-06-22,VTPPF,DXB,MAA,18266.0,18944.0,71500.0,67622.0,18400.0,86700.0,86022.0,13150.0,75500.0,72872.0,0,0,0,0,0,0,0,13412.0,4854.0,4554.0,0.0,0.0,0.0,49356.0,2.0,5.0,0,0,0,I
AI0911,2019-06-23,,BOM,DXB,,,,,,,,,,,0,4,182,149,31,6,2,,,,,,,,,,0,0,1,D
AI0911,2019-06-23,VTANB,BOM,DXB,19985.0,39554.0,161025.0,141456.0,16500.0,184095.0,157956.0,11800.0,172365.0,146156.0,0,0,0,0,0,0,0,14120.0,5865.0,2953.0,2480.0,42.0,0.0,121471.0,2.0,8.0,0,0,0,D
AI0933,2019-06-01,,COK,DXB,,,,,,,,,,,0,1,88,55,30,4,2,,,,,,,,,,0,1,0,D
AI0933,2019-06-01,VTEXG,COK,DXB,11654.0,18550.0,64300.0,56454.0,12150.0,75500.0,68604.0,8404.0,67400.0,60200.0,0,0,0,0,0,0,0,7381.0,4273.0,2038.0,2230.0,5.0,0.0,44800.0,2.0,4.0,0,0,0,D
AI0940,2019-06-22,,BAH,DEL,,,,,,,,,,,0,0,166,131,29,6,1,,,,,,,,,,0,0,0,I
AI0940,2019-06-22,VTEXE,BAH,DEL,17000.0,17387.0,62500.0,59468.0,17145.0,77000.0,76613.0,12649.0,66000.0,63964.0,0,0,0,0,0,0,0,12570.0,4430.0,4430.0,0.0,0.0,0.0,42468.0,2.0,4.0,0,0,0,I
AI0965,2019-06-21,,BOM,HYD,,,,,,,,,,,0,8,56,43,15,6,2,,,,,,,,,,0,3,0,D
AI0965,2019-06-21,VTESP,BOM,HYD,6792.0,64547.0,251743.0,193988.0,23550.0,295973.0,217538.0,10210.0,285763.0,207328.0,0,0,1,0,0,1,0,4920.0,1834.0,1638.0,78.0,0.0,0.0,187196.0,2.0,12.0,0,0,0,D
AI0978,2019-06-29,,HYD,BLR,,,,,,,,,,,0,3,97,80,20,0,0,,,,,,,,,,0,0,2,D
AI0978,2019-06-29,VTEXS,HYD,BLR,13905.0,16224.0,64300.0,58526.0,8650.0,69495.0,67176.0,2095.0,67400.0,65081.0,0,0,0,0,0,0,0,11665.0,2240.0,1957.0,283.0,0.0,0.0,44621.0,2.0,4.0,0,0,0,D
AI0983,2019-06-13,,BOM,DXB,,,,,,,,,,,0,12,160,126,44,2,2,,,,,,,,,,0,2,1,D
AI0983,2019-06-13,VTPPM,BOM,DXB,15854.0,18957.0,71500.0,65129.0,14800.0,83032.0,79929.0,9305.0,75500.0,70624.0,0,0,0,0,0,0,0,12840.0,3014.0,3014.0,0.0,0.0,0.0,49275.0,2.0,5.0,0,0,0,D
AI0984,2019-06-22,,DXB,BOM,,,,,,,,,,,0,12,166,118,49,11,1,,,,,,,,,,0,0,0,I
AI0984,2019-06-22,VTPPM,DXB,BOM,17170.0,19080.0,71500.0,66490.0,16600.0,85000.0,83090.0,9533.0,75500.0,73557.0,0,0,0,0,0,0,0,13309.0,3861.0,3672.0,0.0,0.0,0.0,49320.0,2.0,6.0,0,0,0,I
AI0984,2019-06-23,,DXB,BOM,,,,,,,,,,,0,12,170,111,52,19,2,,,,,,,,,,0,0,1,I
AI0984,2019-06-23,VTPPH,DXB,BOM,17578.0,17991.0,71500.0,66787.0,17300.0,84500.0,84087.0,9518.0,75500.0,74569.0,0,0,0,0,0,0,0,13331.0,4247.0,3967.0,0.0,0.0,0.0,49209.0,2.0,5.0,0,0,0,I
AI0985,2019-06-03,,BOM,MCT,,,,,,,,,,,0,0,86,62,19,5,4,,,,,,,,,,0,0,0,D
AI0985,2019-06-03,VTPPG,BOM,MCT,7886.0,12003.0,71500.0,57299.0,11100.0,72516.0,68399.0,6583.0,75500.0,61816.0,0,0,0,0,0,0,0,6365.0,1521.0,1517.0,4.0,0.0,0.0,49413.0,2.0,5.0,0,0,0,D
AI9612,2019-06-09,,BUP,IXJ,,,,,,,,,,,0,0,42,29,9,4,0,,,,,,,,,,0,0,1,D
AI9612,2019-06-09,VTRKK,BUP,IXJ,3136.0,4724.0,21000.0,16912.0,3000.0,21500.0,19912.0,753.0,22350.0,19159.0,0,0,0,0,0,0,0,2990.0,146.0,146.0,0.0,0.0,0.0,13776.0,2.0,2.0,0,0,0,D
AI9872,2019-06-23,,ISK,HYD,,,,,,,,,,,0,0,49,36,10,3,0,,,,,,,,,,0,0,0,D
AI9872,2019-06-23,VTRKM,ISK,HYD,3867.0,6401.0,21000.0,17666.0,2800.0,23000.0,20466.0,1364.0,22350.0,19102.0,0,0,0,0,0,0,0,3555.0,312.0,312.0,0.0,0.0,0.0,13799.0,2.0,2.0,0,0,0,D
IX0187,2019-06-19,,IXC,SHJ,,,,,,,,,,,0,0,158,137,15,6,0,,,,,,,,,,0,0,0,D
IX0187,2019-06-19,VTAYD,IXC,SHJ,14069.0,19289.0,62731.0,57511.0,13500.0,78800.0,71011.0,10620.0,66360.0,60391.0,0,0,0,0,0,0,0,11944.0,2125.0,2125.0,0.0,0.0,0.0,43442.0,2.0,4.0,0,0,0,D
