City_Pair,Dep_Stn,Arr_Stn,Total_Kilometers
UDR-BDQ,UDR,BDQ,262
DEL-BUP,DEL,BUP,296
BUP-DEL,BUP,DEL,296
STV-RAJ,STV,RAJ,242
RAJ-STV,RAJ,STV,242
BHO-NAG,BHO,NAG,300
NAG-BHO,NAG,BHO,300
EWR-DEL,EWR,DEL,11786
IXE-DEL,IXE,DEL,1743
DEL-IXE,DEL,IXE,1743
DEL-SLV,DEL,SLV,279
SLV-DEL,SLV,DEL,279
UDR-AMD,UDR,AMD,274
VNS-RGN,VNS,RGN,1670
GAU-JAI,GAU,JAI,1570
RGN-VNS,RGN,VNS,1670
BAH-KWI,BAH,KWI,419
KWI-BAH,KWI,BAH,419
SHL-BBI,SHL,BBI,874
BBI-SHL,BBI,SHL,874
IXU-NAG,IXU,NAG,404
NAG-IXU,NAG,IXU,404
IMF-BBI,IMF,BBI,970
BBI-IMF,BBI,IMF,970
BBI-HYD,BBI,HYD,847
HYD-BBI,HYD,BBI,847
BLR-HBX,BLR,HBX,371
HBX-BLR,HBX,BLR,371
GWL-IXL,GWL,IXL,872
IXL-GWL,IXL,GWL,872
BOM-STV,BOM,STV,225
STV-BOM,STV,BOM,225
DEL-IAD,DEL,IAD,12080
IAD-DEL,IAD,DEL,12080
CCU-TEZ,CCU,TEZ,628
TEZ-CCU,TEZ,CCU,628
ARN-DEL,ARN,DEL,5592
DEL-ARN,DEL,ARN,5592
CMB-VNS,CMB,VNS,2047
VNS-CMB,VNS,CMB,2047
BDQ-PNQ,BDQ,PNQ,422
PNQ-BDQ,PNQ,BDQ,422
DEL-CPH,DEL,CPH,5850
CPH-DEL,CPH,DEL,5850
LKO-GAY,LKO,GAY,465
GYA-LKO,GAY,LKO,465
DEL-IXM,DEL,IXM,2077
IXM-DEL,IXM,DEL,2077
SIN-IXM,SIN,IXM,3016
IXM-SIN,IXM,SIN,3016
BLR-CJB,BLR,CJB,223
JAI-GAU,JAI,GAU,1570
VTZ-VGA,VTZ,VGA,289
VGA-VTZ,VGA,VTZ,289
MAA-VGA,MAA,VGA,399
VGA-MAA,VGA,MAA,399
HYD-CJB,HYD,CJB,706
CJB-HYD,CJB,HYD,706
DIU-BOM,DIU,BOM,272
BOM-DIU,BOM,DIU,272
IDR-GWL,IDR,GWL,467
GWL-IDR,GWL,IDR,467
JAI-LKO,JAI,LKO,504
LKO-JAI,LKO,JAI,504
BHO-LKO,BHO,LKO,527
LKO-BHO,LKO,BHO,527
PAT-LKO,PAT,LKO,439
LKO-PAT,LKO,PAT,439
DEL-GOP,DEL,GOP,656
GOP-DEL,GOP,DEL,656
HYD-RPR,HYD,RPR,559
RPR-HYD,RPR,HYD,559
BOM-NJF,BOM,NJF,3180
VGA-TIR,VGA,TIR,348
TIR-VGA,TIR,VGA,348
BOM-BHU,BOM,BHU,303
BHU-BOM,BHU,BOM,303
BOM-SAG,BOM,SAG,547
SAG-BOM,SAG,BOM,547
JAI-AGR,JAI,AGR,217
AGR-JAI,AGR,JAI,217
DEL-BKK,DEL,BKK,2947
BKK-DEL,BKK,DEL,2947
HYD-SAG,HYD,SAG,594
SAG-HYD,SAG,HYD,594
BKK-IXC,BKK,IXC,3093
IXC-BKK,IXC,BKK,3093
BBI-BKK,BBI,BKK,1747
BKK-BBI,BKK,BBI,1747
HBX-BOM,HBX,BOM,476
BOM-HBX,BOM,HBX,476
BOM-ATQ,BOM,ATQ,1411
ATQ-BOM,ATQ,BOM,1411
BLR-BBI,BLR,BBI,1164
NJF-BOM,NJF,BOM,3180
ATQ-NDC,ATQ,NDC,1411
NDC-ATQ,NDC,ATQ,1411
DEL-CJB,DEL,CJB,1942
CJB-DEL,CJB,DEL,1942
SIN-CJB,SIN,CJB,3165
CJB-SIN,CJB,SIN,3165
BOM-GAU,BOM,GAU,2068
GAU-BOM,GAU,BOM,2068
BOM-VGA,BOM,VGA,886
VGA-BOM,VGA,BOM,886
IXJ-BUP,IXJ,BUP,280
BUP-IXJ,BUP,IXJ,280
BHO-HYD,BHO,HYD,680
HYD-BHO,HYD,BHO,680
ATQ-BHX,ATQ,BHX,6391
BHX-ATQ,BHX,ATQ,6391
BLR-GAU,BLR,GAU,2060
GAU-BLR,GAU,BLR,2060
TRZ-TRV,TRZ,TRV,2060
TRV-TRZ,TRV,TRZ,2060
JAI-BKB,JAI,BKB,292
BKB-JAI,BKB,JAI,292
COK-NAG,COK,NAG,1272
NAG-COK,NAG,COK,1272
PAT-BHO,PAT,BHO,825
BHO-PAT,BHO,PAT,825
DEL-IXA,DEL,IXA,1501
IXA-DEL,IXA,DEL,1501
TIR-DEL,TIR,DEL,1677
DEL-TIR,DEL,TIR,1677
IXC-JAI,IXC,JAI,438
JAI-IXC,JAI,IXC,438
GAU-IXT,GAU,IXT,435
IXT-GAU,IXT,GAU,435
CNN-COK,CNN,COK,232
COK-CNN,COK,CNN,232
DEL-BKB,DEL,BKB,387
BKB-DEL,BKB,DEL,387
CCU-JAI,CCU,JAI,1357
JAI-CCU,JAI,CCU,1357
KUU-DED,KUU,DED,191
DED-KUU,DED,KUU,191
DEL-IXP,DEL,IXP,432
IXP-DEL,IXP,DEL,432
BLR-IXG,BLR,IXG,460
IXG-BLR,IXG,BLR,460
TRV-JED,TRV,JED,4286
IXJ-DHM,IXJ,DHM,141
JAI-BHO,JAI,BHO,422
BHO-JAI,BHO,JAI,422
IXT-IXI,IXT,IXI,153
IXI-IXT,IXI,IXT,153
CCU-BKK,CCU,BKK,1607
BKK-CCU,BKK,CCU,1607
BLR-BKK,BLR,BKK,2482
BKK-BLR,BKK,BLR,2482
SIN-BLR,SIN,BLR,3162
BLR-SIN,BLR,SIN,3162
BLR-LHR,BLR,LHR,8060
LHR-BLR,LHR,BLR,8060
DEL-NDC,DEL,NDC,1043
NDC-DEL,NDC,DEL,1043
BHO-BBI,BHO,BBI,938
BBI-BHO,BBI,BHO,938
AMD-BLR,AMD,BLR,1243
BLR-AMD,BLR,AMD,1243
HYD-NAG,HYD,NAG,431
NAG-HYD,NAG,HYD,431
KLH-BLR,KLH,BLR,547
BLR-KLH,BLR,KLH,547
JAI-RPR,JAI,RPR,869
RPR-JAI,RPR,JAI,869
BBI-IXR,BBI,IXR,345
IXR-BBI,IXR,BBI,345
IXR-RPR,IXR,RPR,438
RPR-IXR,RPR,IXR,438
HYD-KLH,HYD,KLH,439
KLH-HYD,KLH,HYD,439
MAA-BHO,MAA,BHO,1183
BHO-MAA,BHO,MAA,1183
CBD-IXZ,CBD,IXZ,278
IXZ-CBD,IXZ,CBD,278
CNN-TRV,CNN,TRV,410
TRV-CNN,TRV,CNN,410
BOM-CNN,BOM,CNN,848
CNN-BOM,CNN,BOM,848
CNN-AUH,CNN,AUH,2602
AUH-CNN,AUH,CNN,2602
CNN-RUH,CNN,RUH,3349
RUH-CNN,RUH,CNN,3349
CNN-SHJ,CNN,SHJ,2588
SHJ-CNN,SHJ,CNN,2588
CNN-DOH,CNN,DOH,2918
DOH-CNN,DOH,CNN,2918
PGH-DED,PGH,DED,199
DED-PGH,DED,PGH,199
ARN-BOM,ARN,BOM,6245
BOM-ARN,BOM,ARN,6245
AMD-IXD,AMD,IXD,959
IXD-AMD,IXD,AMD,959
IXD-CCU,IXD,CCU,748
CCU-IXD,CCU,IXD,748
IXC-NDC,IXC,NDC,1277
NDC-IXC,NDC,IXC,1277
HYD-ISK,HYD,ISK,571
ISK-HYD,ISK,HYD,571
ISK-AMD,ISK,AMD,366
AMD-ISK,AMD,ISK,366
JFK-DXB,JFK,DXB,10995
DXB-JFK,DXB,JFK,10995
ORD-DXB,ORD,DXB,11633
DXB-ORD,DXB,ORD,11633
ORD-HYD,ORD,HYD,13273
HYD-ORD,HYD,ORD,13273
SHJ-ORD,SHJ,ORD,11626
ORD-SHJ,ORD,SHJ,11626
SFO-SHJ,SFO,SHJ,12994
SHJ-SFO,SHJ,SFO,12994
HYD-RDP,HYD,RDP,1159
RDP-HYD,RDP,HYD,1159
DEL-NJF,DEL,NJF,3151
NJF-DEL,NJF,DEL,3151
RUH-AMD,RUH,AMD,2638
AMD-RUH,AMD,RUH,2638
ATQ-SXR,ATQ,SXR,254
SXR-ATQ,SXR,ATQ,254
STV-SHJ,STV,SHJ,1838
SHJ-STV,SHJ,STV,1838
CJB-DOH,CJB,DOH,3109
DOH-CJB,DOH,CJB,3109
VIE-JFK,VIE,JFK,6781
JFK-VIE,JFK,VIE,6781
SHJ-IAD,SHJ,IAD,11342
IAD-SHJ,IAD,SHJ,11342
SHJ-JFK,SHJ,JFK,10990
JFK-SHJ,JFK,SHJ,10990
BOM-IAD,BOM,IAD,12854
IAD-BOM,IAD,BOM,12854
VIE-ORD,VIE,ORD,7541
ORD-VIE,ORD,VIE,7541
TLV-JAI,TLV,JAI,3988
JAI-TLV,JAI,TLV,3988
SHJ-EWR,SHJ,EWR,11008
EWR-SHJ,EWR,SHJ,11008
LHR-MAD,LHR,MAD,1246
MAD-LHR,MAD,LHR,1246
CCU-SXR,CCU,SXR,1833
SXR-CCU,SXR,CCU,1833
DEL-CDG,DEL,CDG,6579
DEL-TLV,DEL,TLV,4054
JED-TRV,JED,TRV,4286
DHM-IXJ,DHM,IXJ,141
TLV-DEL,TLV,DEL,4054
BOM-VIE,BOM,VIE,5976
VIE-BOM,VIE,BOM,5976
JRG-BBI,JRG,BBI,258
LKO-UDR,LKO,UDR,741
UDR-LKO,UDR,LKO,741
BBI-JRG,BBI,JRG,258
RPR-JRG,RPR,JRG,252
JRG-RPR,JRG,RPR,252
ARN-IAD,ARN,IAD,6626
IAD-ARN,IAD,ARN,6626
ARN-ORD,ARN,ORD,6851
ORD-ARN,ORD,ARN,6851
BHO-PNQ,BHO,PNQ,631
PNQ-BHO,PNQ,BHO,631
STV-BHO,STV,BHO,519
RKT-DEL,RKT,DEL,2109
DEL-RKT,DEL,RKT,2109
SHO-RKT,SFO,RKT,12951
RKT-SFO,RKT,SFO,12951
CNN-CCJ,CNN,CCJ,97
CCJ-CNN,CCJ,CNN,97
DEL-CNN,DEL,CNN,1860
CNN-DEL,CNN,DEL,1860
VTZ-BLR,VTZ,BLR,796
BHO-STV,BHO,STV,519
GOI-SHJ,GOI,SHJ,2206
SHJ-GOI,SHJ,GOI,2206
CNN-MCT,CNN,MCT,2218
MCT-CNN,MCT,CNN,2218
CNN-BAH,CNN,BAH,3054
BAH-CNN,BAH,CNN,3054
KWI-CNN,KWI,CNN,3443
CNN-KWI,CNN,KWI,3443
MAA-VNS,MAA,VNS,1414
VNS-MAA,VNS,MAA,1414
DXB-BLR,DXB,BLR,2708
BLR-DXB,BLR,DXB,2708
VGA-TRV,VGA,TRV,989
TRV-VGA,TRV,VGA,989
IXM-TRV,IXM,TRV,198
TRV-IXM,TRV,IXM,198
RDP-DEL,RDP,DEL,1483
